"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Propulsio","Nombre"
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","047","No consta",5
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Combustió Interna-Gasolina",362
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Combustió Interna-Gasoil",175
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Elèctrica",5
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Híbrid",35
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","048","Altres",5
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Combustió Interna-Gasolina",306
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Combustió Interna-Gasoil",105
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Elèctrica",10
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Híbrid",23
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","049","Altres",6
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Combustió Interna-Gasolina",279
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Combustió Interna-Gasoil",117
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Elèctrica",7
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Híbrid",22
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","050","Altres",3
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Combustió Interna-Gasolina",283
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Combustió Interna-Gasoil",116
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Elèctrica",5
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Híbrid",29
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","Altres",6
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","051","No consta",8
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Combustió Interna-Gasolina",620
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Combustió Interna-Gasoil",273
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Elèctrica",25
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Híbrid",60
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","Altres",11
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","052","No consta",4
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Combustió Interna-Gasolina",351
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Combustió Interna-Gasoil",180
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Elèctrica",6
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Híbrid",34
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","Altres",6
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","053","No consta",2
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Combustió Interna-Gasolina",268
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Combustió Interna-Gasoil",94
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Elèctrica",4
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Híbrid",17
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","Altres",5
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","054","No consta",1
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Combustió Interna-Gasolina",315
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Combustió Interna-Gasoil",118
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Elèctrica",35
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Híbrid",37
2025,"01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","055","Altres",8
2025,"02","Eixample","05","el Fort Pienc","001","Combustió Interna-Gasolina",304
2025,"02","Eixample","05","el Fort Pienc","001","Combustió Interna-Gasoil",278
2025,"02","Eixample","05","el Fort Pienc","001","Elèctrica",14
2025,"02","Eixample","05","el Fort Pienc","001","Híbrid",110
2025,"02","Eixample","05","el Fort Pienc","001","Altres",15
2025,"02","Eixample","05","el Fort Pienc","001","No consta",1
2025,"02","Eixample","05","el Fort Pienc","002","Combustió Interna-Gasolina",496
2025,"02","Eixample","05","el Fort Pienc","002","Combustió Interna-Gasoil",218
2025,"02","Eixample","05","el Fort Pienc","002","Elèctrica",8
2025,"02","Eixample","05","el Fort Pienc","002","Híbrid",72
2025,"02","Eixample","05","el Fort Pienc","002","Altres",9
2025,"02","Eixample","05","el Fort Pienc","002","No consta",1
2025,"02","Eixample","05","el Fort Pienc","003","Combustió Interna-Gasolina",314
2025,"02","Eixample","05","el Fort Pienc","003","Combustió Interna-Gasoil",105
2025,"02","Eixample","05","el Fort Pienc","003","Elèctrica",6
2025,"02","Eixample","05","el Fort Pienc","003","Híbrid",44
2025,"02","Eixample","05","el Fort Pienc","003","Altres",5
2025,"02","Eixample","05","el Fort Pienc","004","Combustió Interna-Gasolina",389
2025,"02","Eixample","05","el Fort Pienc","004","Combustió Interna-Gasoil",169
2025,"02","Eixample","05","el Fort Pienc","004","Elèctrica",6
2025,"02","Eixample","05","el Fort Pienc","004","Híbrid",59
2025,"02","Eixample","05","el Fort Pienc","004","Altres",10
2025,"02","Eixample","05","el Fort Pienc","004","No consta",1
2025,"02","Eixample","05","el Fort Pienc","005","Combustió Interna-Gasolina",665
2025,"02","Eixample","05","el Fort Pienc","005","Combustió Interna-Gasoil",245
2025,"02","Eixample","05","el Fort Pienc","005","Elèctrica",17
2025,"02","Eixample","05","el Fort Pienc","005","Híbrid",101
2025,"02","Eixample","05","el Fort Pienc","005","Altres",10
2025,"02","Eixample","05","el Fort Pienc","005","No consta",1
2025,"02","Eixample","05","el Fort Pienc","006","Combustió Interna-Gasolina",494
2025,"02","Eixample","05","el Fort Pienc","006","Combustió Interna-Gasoil",159
2025,"02","Eixample","05","el Fort Pienc","006","Elèctrica",5
2025,"02","Eixample","05","el Fort Pienc","006","Híbrid",70
2025,"02","Eixample","05","el Fort Pienc","006","Altres",5
2025,"02","Eixample","05","el Fort Pienc","006","No consta",1
2025,"02","Eixample","05","el Fort Pienc","007","Combustió Interna-Gasolina",384
2025,"02","Eixample","05","el Fort Pienc","007","Combustió Interna-Gasoil",141
2025,"02","Eixample","05","el Fort Pienc","007","Elèctrica",8
2025,"02","Eixample","05","el Fort Pienc","007","Híbrid",47
2025,"02","Eixample","05","el Fort Pienc","007","Altres",7
2025,"02","Eixample","05","el Fort Pienc","008","Combustió Interna-Gasolina",596
2025,"02","Eixample","05","el Fort Pienc","008","Combustió Interna-Gasoil",209
2025,"02","Eixample","05","el Fort Pienc","008","Elèctrica",10
2025,"02","Eixample","05","el Fort Pienc","008","Híbrid",66
2025,"02","Eixample","05","el Fort Pienc","008","Altres",15
